SongName,YouTube,Spotify
ST,https://youtu.be/aOoJKTSn_cY?si=hv2j9770J4In8Vw0,https://open.spotify.com/intl-ja/track/5p3sxPVvdK2A0gXmNt1S8I?si=fe650e63fc024ecf
Special Order,https://youtu.be/6oGcE8wCLF4?si=rAEAXtyrmAZH2p3R,https://open.spotify.com/intl-ja/track/6Iy8rr7LL8WvdCLZwNF5ew?si=2690a56537ea4427
Life Time,https://youtu.be/UFcPCRH-Ij4?si=P_P6hnJHQv46ugvr,https://open.spotify.com/intl-ja/track/710xEhVOddlu0fN4ENOSch?si=2e9751d5b48543d7
うやむや,https://youtu.be/ULpea2gu_m0?si=XSgMZrcRQlTpewQg,https://open.spotify.com/intl-ja/track/5Dif6zz9F8MDMtJQnkprgd?si=5a01d6e39f5c4b40
S.I.X,https://youtu.be/UTdyW5ybP2E?si=gS-YjYusJZuB1iU-,https://open.spotify.com/intl-ja/track/2nxn16Hl02aCUa1Jwr2jao?si=cd47998110c14739
"""Laugh"" in the LIFE",https://youtu.be/zjyP7CxUaDs?si=j4FDbrE4HbFMlBCb,https://open.spotify.com/intl-ja/track/0CqKTPLCz3xLKGkEVvIqHI?si=039e57000f2a4e3b
RAM-PAM-PAM,https://youtu.be/v3n9DSQzTns?si=GezshOUllOQtpHa9,https://open.spotify.com/intl-ja/track/3kKsqFYKcnEovymbHTaOy7?si=6317cf20e37a47ec
Imitation Rain,https://youtu.be/pTh-ncw31ZA?si=3tCO6xqQw7rf2Gvd,https://open.spotify.com/intl-ja/track/03TJRLzsaDf9KqQShGgVg9?si=2497e017adcd47b4
Telephone,https://youtu.be/OzbYcxx4LwY?si=WahJPv2dX9-q5Vdq,https://open.spotify.com/intl-ja/track/2nAu02GzoTD0aXEAa4cgwz?si=6ab118cc91ee49cb
NEW WORLD,https://youtu.be/8W_GSGtyYdc?si=uN0fNDlr4oe4CymO,https://open.spotify.com/intl-ja/track/3T8b6zBv204yuWmseuklFq?si=a6fb9c42c1074437
NAVIGATOR,https://youtu.be/VUrSsrAnq8M?si=z8iY_GbL1gkjV7M4,https://open.spotify.com/intl-ja/track/135KwWixLI8EdEcxJDijdH?si=178c3ae38f8f4f9e
NEW ERA,https://youtu.be/UoHzt2sJ0MQ?si=-1PdpSdRh13D5l6e,https://open.spotify.com/intl-ja/track/7eOnx8tXd6HfqgbTMNSiV4?si=5dd967e0682b4a3b
僕が僕じゃないみたいだ,https://youtu.be/kk-k23Sf3SE?si=AX7mt0xW-_DDD-Xb,https://open.spotify.com/intl-ja/track/7yM33r2iInRLzzTT0NZfhZ?si=2abf6ffd53f1462d
Strawberry Breakfast,https://youtu.be/-YP_I9C7i4o?si=f--w-ES0BgWWcp0e,https://open.spotify.com/intl-ja/track/3ehic24q14YqItaO7h12hC?si=2bad30cab43f4bd0
Call me,https://youtu.be/3dky0VRhY8A?si=SZttxa0_DYqT1wrF,https://open.spotify.com/intl-ja/track/6V5tOBNUiV5Hs7UQta6v2B?si=181b2c53f10c4658
マスカラ,https://youtu.be/WAvDu9DzcSw?si=q5KCytmoViNQjst-,https://open.spotify.com/intl-ja/track/1UmOWyEsNUzanJRqXdAFUT?si=55c368e843354278
フィギュア,https://youtu.be/LjzyRNX6D3s?si=--sZQK-UNJBvQoJ8,https://open.spotify.com/intl-ja/track/6dSMuFMtvkeXosbcN6UYJ6?si=1c8586537e3e4bbd
共鳴,https://youtu.be/juoM5rB0h44?si=Rhv1uTpkocg2OsE8,https://open.spotify.com/intl-ja/track/7D4F95SJpOxKDKvqgFZUIG?si=f90dd34df4a14714
Wave Crash,https://youtu.be/UEkaV4B-SWM?si=qBiR-HRepAkQVvkw,https://open.spotify.com/intl-ja/track/5CG52jnMpDUiY8l3ZD4IXX?si=8417fc00198849b5
FASHION,https://youtu.be/Bb3CgOoL2HI?si=XxQSQgYR47CVDrir,https://open.spotify.com/intl-ja/track/4qe0CuC2xwRj15xtXXFvhE?si=075a7db090f648dd
Gum Tape,https://youtu.be/aBtZWIxcGFE?si=81OhQgez63H6kOOV,https://open.spotify.com/intl-ja/track/2oov0PnH8jCtTjuCNCeiVm?si=e30c453793084436
マスカラ -Emotional Afrobeats Remix-,https://youtu.be/GRJCR5FBN1k?si=D12Fdbo19cDghLVN,https://open.spotify.com/intl-ja/track/2B3A6fTvL47kK1cjzHJm1c?si=8f57da72ca3141f0
わたし,https://youtu.be/ha1sXlzixrQ?si=u4cP-wc0WASzl6xG,https://open.spotify.com/intl-ja/track/7CBVLDtL9eWL05wEw0gOyj?si=04084e31534d4909
Good Luck!,https://youtu.be/bq2vctuvBGY?si=-1tbQEPAytdUZEI-,https://open.spotify.com/intl-ja/track/5PhGuBzFH9vLwQXn4dWM6L?si=e9a9194ecf954592
ふたり,https://youtu.be/kXfNZeyldI0?si=g2SpKhlkLWDKqD7M,https://open.spotify.com/intl-ja/track/4m5LsKhCCZYN2HFou6vJ3y?si=048d55e2286f4315
Rosy,https://youtu.be/MiCoGolDDOQ?si=DwglD-1uON5U8VY8,https://open.spotify.com/intl-ja/track/4zPJvsaKuQpkkdZ4s9FtS0?si=39a633d2ec8547c3
Everlasting,https://youtu.be/Gy2VGaEg4o4?si=qPQl1M-I-OMNfTCG,https://open.spotify.com/intl-ja/track/6ar8Oe8E05fhPPEFHpiQEi?si=8ac119baa5a84601
WHIP THAT,https://youtu.be/o6WRJSGVQuQ?si=7fAnJEsGrlYj2PeW,https://open.spotify.com/intl-ja/track/4W6jv52ISItTqLSOQrWy8O?si=12f8a98f9a48498a
Boom-Pow-Wow!,https://youtu.be/s0rjweSQonc?si=83YgJJRiniQhOiTa,https://open.spotify.com/intl-ja/track/5rKkk5Y1Ry1uhdkwK5vfWU?si=96d10de1ec9a4ce5
Outrageous,https://youtu.be/D42-kbnwuLc?si=yn3Ot3pI1HAfe9TO,https://open.spotify.com/intl-ja/track/38WxOh6PG3xqPGdOHXMtm0?si=cdf91e4b3cb448f2
人人人,https://youtu.be/kbIbp2fUVzA?si=DSc9pSokNVqjL4iB,https://open.spotify.com/intl-ja/track/7Bf5m61Q4pTTGEmuHxqwwU?si=e3187ea9bfe24cf3
Chillin' with you,https://youtu.be/zo4AHxCL4VM?si=yzWaIuLzaBnWf-6d,https://open.spotify.com/intl-ja/track/4zY5LP1vjue2EJYdu8U1Jo?si=cbdd8073349c464d
PARTY PEAPLE,https://youtu.be/BB1UOQWxMuI?si=7YdSbW5tQ_isf_cS,https://open.spotify.com/intl-ja/track/1GHJDktae8CrmRC172gTG5?si=7f63a6c699a84b0b
ABARERO,https://youtu.be/jEHYWTcIpmg?si=h46EuetkkK69UszO,https://open.spotify.com/intl-ja/track/2hMT5UzNVOaRmwazYzjY0C?si=fbe5c54edf7547ab
Drive,https://youtu.be/nGP1qkItE2E?si=IGEwBxmSFraZZr-H,https://open.spotify.com/intl-ja/track/32l71KXDYQS1Q5bBS2IlAr?si=7123a0366da240b0
こっから,https://youtu.be/yvHfl1JEPc0?si=j2GYJ3Bk3D2ghWwR,https://open.spotify.com/intl-ja/track/22xUwmDrNN00Sb8KO5lE9N?si=d1295156d428425e
CREAK,https://youtu.be/_vzFjFvy2to?si=QuwPxCr7Uyy-x4Tz,https://open.spotify.com/intl-ja/track/6oSGG8Vyko9k9DIyqDORAM?si=906392ceed804984
アンセム,https://youtu.be/5k04QkJiGt8?si=-AjW30GmLImY2QLO,https://open.spotify.com/intl-ja/track/0kHXnpNmrBBwH1U2zXL7ZR?si=52c671feba1542fb
Something from Nothing,https://youtu.be/dxHXwv4OYwY?si=6GBz2-P6Wh758whz,https://open.spotify.com/intl-ja/track/64rPWt8t0Kzg73fgL30DY0?si=0a7a41a7e6814b52
Only Holy,https://youtu.be/0NQrDYCooiU?si=yXAOlLCs3gcBWLRs,https://open.spotify.com/intl-ja/track/61DmlOH2R9PTvG8aHclTob?si=4215116fe8c840fb
Bang Bang Bangin',https://youtu.be/p2SMuv3bbSc?si=WlZE-h_0U79kvsEm,https://open.spotify.com/intl-ja/track/47NoINNZpNYoEZ9sc1pEBw?si=1fc4f8320fdb49ae
DRAMA,https://youtu.be/i1vFBbG_4mQ?si=6PBTdEdwEdnfrqgD,https://open.spotify.com/intl-ja/track/6iIkjuQUdY6AZgRN8z25Fq?si=78732be119774e7b
君がいない,https://youtu.be/1AbqbgBsGjI?si=j_1KF2TBhVleg485,https://open.spotify.com/intl-ja/track/4WGN9jygQsNSE247fzxzoy?si=40105d9a071040ed
音色,https://youtu.be/pXtP_U1NHhc?si=qbB6ZPQ2J4RICVuV,https://open.spotify.com/intl-ja/track/42snIU3svK0pTPHH5UfVef?si=37c9715d60bf4478
GONG,https://youtu.be/Zaij5ULZf9E?si=wc0zPKCPL5w6wtF8,https://open.spotify.com/intl-ja/track/0IAAGlE5MfM0LDXnwTtoAn?si=e708070190e24190
ここに帰ってきて,https://youtu.be/G8oY6pC0kgA?si=hUCQ3mg8yi737o4q,https://open.spotify.com/intl-ja/track/4AZOS8xnEQVa6TWKVQxNGZ?si=7f74c4b675e840f2
THE BALLERS,https://youtu.be/WDBZv-wbuYo?si=z0x6AzmPrZCDWlQY,https://open.spotify.com/intl-ja/track/6oPg2PNCw4dpH7M3vvHztm?si=cdcddc8e9a684451
バリア,https://youtu.be/5g6E_UY5G88?si=-EXnfoaGHBQ1A8W4,https://open.spotify.com/intl-ja/track/2ZcgFU4FQ80mB2Eh5Uyzol?si=69c3ad91de394791
Strawberry Breakfast -Live on MTV Unplugged-,https://youtu.be/2gzYwx46SyA?si=HgJfOsz99pU6Wq71,https://open.spotify.com/intl-ja/track/246rKIMs0soSGx84V9ACQl?si=382fde70698241e0
STAMP IT,https://youtu.be/WUgVbVEDJoI?si=5nyXoc1NRjGhRuSv,https://open.spotify.com/intl-ja/track/4ef48MLz1bkS8lm0vmrnNN?si=7f149bd4c32e4481
僕が僕じゃないみたいだ (Dramatic Rearrange),https://youtu.be/RKisALNVx8U?si=2peXwXntIiuNgXuc,https://open.spotify.com/intl-ja/track/7fCjhvYKRygIAjwAylDYIS?si=c7b9d46456d94cfc
シアター,https://youtu.be/JwyhXB5z3-Q?si=6aGhu0gT77WhpslM,https://open.spotify.com/intl-ja/track/7Ii3P1iEfIfdgz2YXAAx89?si=d96f3ce29c684f83
オンガク,https://youtu.be/xOtgr-gpwKc?si=uK8uRxOpJPlZZtZe,https://open.spotify.com/intl-ja/track/7pESuOuwIO9Sw8yDn7TLaa?si=b4cf9de6c1b0441b
セピア,https://youtu.be/p0URnZIqu_E?si=ogfeFCFF1SkfaEpQ,https://open.spotify.com/intl-ja/track/20a5qruB6YhUbrC6f9yZ2H?si=cd778b89c96f405d
共鳴 -Brave Marching Band Remix-,https://youtu.be/j1kUEU1KBs4?si=1AbsGesz8p-1FVXm,https://open.spotify.com/intl-ja/track/2EyDOGmnBfxjmXsgnAydEt?si=0b643590df28419d
FIREWORKS,https://youtu.be/oXAmGSH7vYs?si=C96wYvK-YdTzWMU7,https://open.spotify.com/intl-ja/track/5i0V60osHBHa8awrjRWpdB?si=58b314a463be4282
Tu-tu-lu,https://youtu.be/LlT9Tvc1SwQ?si=bTcSQgxqgzvI0RzN,https://open.spotify.com/intl-ja/track/4g6YdCCaQJG6pZXh6wRGkk?si=546499bfb525441e
ガラス花,https://youtu.be/fNMqgAizLq4?si=w3LGi_9k8tKpdLV4,https://open.spotify.com/intl-ja/track/2FteoAbl3rNIVEu0JkhSUm?si=18f30f5147b045ec
MUSIC IN ME,https://youtu.be/X_KUuNWlUYw?si=08JAweZboML-vJWt,https://open.spotify.com/intl-ja/track/6gCTWfKHgfoJYeR2iNiEHg?si=1eab97ebd8d44050
Never Ending Love,https://youtu.be/CCB5wZ1UygY?si=zbZuicGYxvCqd5Vn,https://open.spotify.com/intl-ja/track/7nb8RSR9kclt9CaiVZNGT0?si=407ac7da48104b7e
